issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,kitab,bab,fasal
16-01-2020,https://www.banuri.edu.pk/readquestion/حالت-حیض-میں-عمرہ-کیا-144105200730/16-01-2020,حالتِ حیض میں عمرہ کیا,میں تین سال پہلے عمرے پر گئی تھی تو  اس وقت میں  حالتِ حیض میں تھی  میقات میں، پھر میں نے غسل کیا اور احرام باندھا۔ جب حرم پہونچی تو پھر حیض آگیا تو اس حالت میں میں نے طواف بھی کیا اور صفا مروہ کی سعی بھی۔ مجھے کچھ معلوم نہیں تھا۔ اب میرے لیے شرعی حکم کیا ہے؟,"<p><p style=""text-align:justify;"">صورت مسئّولہ میں آپ کے ذمہ حرم کی حدود میں ایک دم (قربانی) دینا لازم ہے۔ خود نہ جاسکیں تو کسی کے ذریعے حدودِ حرم میں ایک چھوٹا جانور بطورِ دم ذبح کروادیں، اور اس پر استغفار بھی کیجیے۔</p><p style=""text-align:justify;""><span class=""ar_writing"">""ولو طاف للزیارة جنباً أو حائضاً أو نفساء کله أوکثره ویقع معتداً به في حق التحلل ویصیر عاصیاً فإن أعاده سقطت عنه البدنة"". (غنیة الناسك ۲۷۲)</span></p><p style=""text-align:justify;""><span class=""ar_writing"">الدر المختار وحاشية ابن عابدين (رد المحتار) (2/ 550):</span></p><p style=""text-align:justify;""><span class=""ar_writing"">""(أو طاف للقدوم)؛ لوجوبه بالشروع (أو للصدر جنباً) أو حائضاً (أو للفرض محدثاً ولو جنباً فبدنة إن) لم يعده، والأصح وجوبها في الجنابة، وندبها في الحدث، وأن المعتبر الأول، والثاني جابر له، فلا تجب إعادة السعي، جوهرة. وفي الفتح: لو طاف للعمرة جنباً أو محدثاً فعليه دم ، وكذا لو ترك من طوافها شوطاً؛ لأنه لا مدخل للصدقة في العمرة ... (قوله: بلا عذر) قيد للترك والركوب. قال في الفتح عن البدائع: وهذا حكم ترك الواجب في هذا الباب اهـ أي أنه إن تركه بلا عذر لزمه دم، وإن بعذر فلا شيء عليه مطلقاً. وقيل: فيما ورد به النص فقط، وهذا بخلاف ما لو ارتكب محظوراً  كاللبس والطيب، فإنه يلزمه موجبه ولو بعذر، كما قدمناه أول الباب"".</span> فقط واللہ اعلم</p></p>",144105200730,banuri,"('حج', 'haj')","('حج / عمرہ', 'hajj-umrah')","('عمرہ ، فرائض ، واجبات اور سنن', 'umrah-faraidh-wajibat-or-sunan')"
18-01-2020,https://www.banuri.edu.pk/readquestion/ارطغرل-ڈرامہ-دیکھنے-کا-حکم-144105200785/18-01-2020,ارطغرل ڈراما دیکھنے کا حکم,ترکش ڈراما ’’ارطغرل‘‘ کے دیکھنے کی شرعی حیثیت بتائیں؟ اس کے دیکھنے کی تبلیغ میں کیا قباحت ہے؟,"<p><p style=""text-align:justify;"">مذکورہ ڈراما  ہو  یا کوئی اور ڈراما  یا فلم، دیکھنا شرعاً جائز نہیں۔</p><p style=""text-align:justify;"">نیز عموماً ٹی وی پر آنے والے پروگرام موسیقی ناچ گانے، بد نگاہی کے اسباب سے خالی نہیں ہوتے، لہذا اس قسم کے پروگراموں کے دیکھنے کی ترغیب دینا (علاوہ جان دار کی تصویر دیکھنے دکھانے کے) اشاعتِ فاحش، و  معاونت علی الاثم کے قبیل سے ہونے کی وجہ سے جائز نہیں۔</p><p style=""text-align:justify;"">الدر المختار میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">""قلت: وفي البزازية: استماع صوت الملاهي - كضرب قصب، ونحوه - حرام؛ لقوله عليه الصلاة والسلام: ""استماع الملاهي معصية، والجلوس عليها فسق، والتلذذ بها كفر"" أي: بالنعمة، فصرف الجوارح إلى غير ما خلق لأجله كفر بالنعمة، لا شكر، فالواجب كل الواجب أن يجتنب كي لايسمع؛ لما روي أنه عليه الصلاة والسلام أدخل أصبعه في أذنه عند سماعه، وأشعار العرب لو فيها ذكر الفسق تكره، اهـ أو لتغليظ الذنب، -كما في الاختيار -، أو للاستحلال، - كما في النهاية -"". ( الشامية، كتاب الحظر و الإباحة، قبيل فصل في اللبس، ٩/ ٥٠٤، ط: دار عالم الكتب)</span></p><p style=""text-align:justify;""><span class=""ar_writing"">البريقة المحمودية في شرح الطريقة المحمدية لبركلي</span>میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">""قال قاضي خان عن النبي صلى الله تعالى عليه وسلم: (استماع الملاهي معصية، والجلوس عليها فسق، والتلذذ بها من الكفر، إنما قال عليه الصلاة والسلام ذلك، على وجه التشديد و إن سمع بغتةً فلا إثم عليه، و يجب عليه أن يجتهد كلّ الجهد حتي لايسمع؛ لما روي: أنّ  رسول الله صلي الله عليه وسلم أدخل أصبعيه في أذنه. انتهي"". ( الباب الثاني / في الأمور المهمة في الشريعة، ٥ / ٤، ط: دار الكتب العلمية)</span></p><p style=""text-align:justify;""><span class=""ar_writing"">مرقاة المفاتيح شرح مشكاة المصابيح</span>میں ہے:</p><p style=""text-align:justify;""> <span class=""ar_writing"">""٤٨١١ - «وَعَنْ نَافِعٍ - رَحِمَهُ اللَّهُ - قَالَ: كُنْتُ مَعَ ابْنِ عُمَرَ فِي طَرِيقٍ، فَسَمِعَ مِزْمَارًا، فَوَضَعَ أُصْبُعَيْهِ فِي أُذُنَيْهِ وَنَاءَ عَنِ الطَّرِيقِ إِلَى الْجَانِبِ الْآخَرِ، ثُمَّ قَالَ لِي بَعْدَ أَنْ بَعُدَ: يَا نَافِعُ! هَلْ تَسْمَعُ شَيْئًا؟ قُلْتُ: لَا، فَرَفَعَ أُصْبُعَيْهِ مِنْ أُذُنَيْهِ، قَالَ: كُنْتُ مَعَ رَسُولِ اللَّهِ فَسَمِعَ صَوْتَ يَرَاعٍ، فَصَنَعَ مِثْلَ مَا صَنَعْتُ. قَالَ نَافِعٌ: فَكُنْتُ إِذْ ذَاكَ صَغِيرًا» . رَوَاهُ أَحْمَدُ، وَأَبُو دَاوُدَ.</span></p><p style=""text-align:justify;""><span class=""ar_writing"">وَفِي فَتَاوَى قَاضِي خَانْ: أَمَّا اسْتِمَاعُ صَوْتِ الْمَلَاهِي كَالضَّرْبِ بِالْقَضِيبِ وَنَحْوِ ذَلِكَ حَرَامٌ وَمَعْصِيَةٌ لِقَوْلِهِ عَلَيْهِ السَّلَامُ: "" «اسْتِمَاعُ الْمَلَاهِي مَعْصِيَةٌ، وَالْجُلُوسُ عَلَيْهَا فِسْقٌ، وَالتَّلَذُّذُ بِهَا مِنَ الْكُفْرِ» "" إِنَّمَا قَالَ ذَلِكَ عَلَى وَجْهِ التَّشْدِيدِ وَإِنْ سَمِعَ بَغْتَةً فَلَا إِثْمَ عَلَيْهِ، وَيَجِبُ عَلَيْهِ أَنْ يَجْتَهِدَ كُلَّ الْجَهْدِ حَتَّى لَا يَسْمَعَ لِمَا رُوِيَ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَدْخَلَ أُصْبُعَهُ فِي أُذُنَيْهِ"". ( بَابُ الْبَيَانِ وَالشِّعْرِ ، الْفَصْلُ الثَّالِثُ، ٧ / ٣٠٢٥) </span>فقط واللہ اعلم</p></p>",144105200785,banuri,"('حظر و اباحت', 'mamnooaat-mubahat')","('تفریح / کھیل', 'tafreeh-khel')","('ٹی وی / وی سی آر / سینما / انٹرنیٹ/تصویر سازی', 'tv-vcr-cinema-internet-taswer-sazi')"
16-01-2020,https://www.banuri.edu.pk/readquestion/دینی-کتب-پیٹھ-پیچھے-زیادہ-لٹکانا-144105200736/16-01-2020,دینی کتب پیٹھ پیچھے زیادہ لٹکانا,میں مدرسہ کا طالب علم ہوں، سوال یہ ہے کہ ہمارے لیے  کتابوں کو کاندھے پر پیچھے رکھنا ادب کے لحاظ سے یا کسی اور لحاظ سے صحیح ہے یا نہیں؟,"<p><p style=""margin-left:0;margin-right:0;text-align:justify;"">دینی کتب میں قرآن وحدیث،تفسیر ، فقہ واصول فقہ وغیرہ کے مضامین ہوتے ہیں، اس لیے یہ ساری کتب ادب کی متقاضی ہیں، اور دینی کتب کے آداب میں ایک ادب یہ بھی ہے کہ انہیں سینے سے لگایا جائے،  پیٹھ پیچھے لٹکانا مناسب نہیں ہے۔مولاناشاہ ابرارالحق ہردوئی رحمہ اللہ (خلیفہ مجاز حکیم الامت حضرت تھانوی ؒ )ارشاد فرماتے ہیں :</p><p style=""text-align:justify;"">’’ آج علم میں بے برکتی کا بڑا سبب اساتذہ کا ادب واحترام نہ کرنا ہے اور تفسیر و حدیث پاک کی کتابوں کا ادب نہ کرنا ہے۔ عموماً طلباء انگریزی اسکول کے لڑکوں کی طرح دینی کتب کو ہاتھ میں لے کر نیچے لٹکائے ہوئے، ہلاتے ہوئے چلتے ہیں، جس سے دینی کتابیں کبھی آگے کبھی پیچھے ہوتی ہیں اور بعض تو چارپائی کے سرہانے بیٹھے ہوئے اور پائینتی کی طرف کتابوں کو رکھتے ہیں،  بعض دینی کتب پر قلم، چشمہ اور ٹوپی رکھ دیتے ہیں، ان باتوں سے بچنا چاہیے؛ کیوں کہ اللہ تعالیٰ کا فضل بے ادب کو نہیں ملتا‘‘۔( ماہنامہ بینات کراچی ذوالحجہ ۱۴۲۹ھ دسمبر ۲۰۰۸ء)فقط واللہ اعلم</p></p>",144105200736,banuri,"('حقوق و آدابِ معاشرت', 'huqooq-muashret')","('آدابِ معاشرت', 'akhlaq-aadab')","('اٹھنے، بیٹھنے، سونے، چلنے پھرنے کے آداب', 'uthnay-bethnay-chalnay-phirnay-k-aadab')"
03-01-2020,https://www.banuri.edu.pk/readquestion/اگر-آج-کے-بعد-آپ-لوگوں-سے-بات-کی-تو-میری-بیوی-کو-تین-طلاق-ہوجائےگی-144105200214/03-01-2020,اگر آج کے بعد آپ لوگوں سے بات کی تو میری بیوی کو تین طلاق ہوجائےگی,میں نے اپنی بھابھیوں سے کہا کہ اگر آج کے بعد میں نے آپ لوگوں سے بات کی تو میری بیوی کوتین طلاق ہو جائے گی، مگر ایک دن باہر جاتے ہوئے میں نے اپنی بھابھیوں کو سلام کردیا تو کیا تین طلاق واقع ہوئی یا نہیں؟ اور کیا سلام کرنا بات کرنے میں شامل ہے یا نہیں؟ اور اب کیا میں یہ اپنی طلاق کی قسم واپس لے سکتا ہوں یا نہیں ؟,"<p><p style=""text-align:justify;"">سلام کرنا بات کرنے میں داخل ہے؛ لہذا صورتِ مسئولہ میں تینوں طلاق واقع ہوچکی ہیں، رجوع بھی جائز نہیں، اور تجدیدِ نکاح کی بھی اجازت نہیں۔ الا یہ کہ بیوی عدت گزار کر دوسری جگہ نکاح کرلے، اور دوسرے شوہر کا انتقال ہوجائے یا وہ حقوقِ زوجیت ادا کرنے کےبعد از خود طلاق دے دے، اور اس کی عدت بھی گزر جائے، پھر آپ کے لیے اس سے نکاح جائز ہوگا، تاہم دوسرا نکاح کرانے میں آپ کا شریک ہونا جائز نہیں ہوگا۔ </p><p style=""text-align:justify;"">فتاوی ہندیہ میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">""وَإِذَا أَضَافَهُ إلَى الشَّرْطِ وَقَعَ عَقِيبَ الشَّرْطِ اتِّفَاقًا"". ( الْفَصْلُ الثَّالِثُ فِي تَعْلِيقِ الطَّلَاقِ بِكَلِمَةِ إنْ وَإِذَا وَغَيْرِهِمَا، ١ / ٤٢٠)</span></p><p style=""text-align:justify;"">فتاوی ہندیہ میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">""وَلَوْ مَرَّ الْحَالِفُ عَلَى جَمَاعَةٍ فِيهِمْ الْمَحْلُوفُ عَلَيْهِ فَسَلَّمَ الْحَالِفُ عَلَيْهِمْ حَنِثَ وَإِنْ لَمْ يَسْمَعْ الْمَحْلُوفُ عَلَيْهِ، كَذَا فِي فَتَاوَى قَاضِي خَانْ. فَإِنْ نَوَى الْقَوْمَ دُونَهُ لَمْ يَحْنَثْ فِيمَا بَيْنَهُ وَبَيْنَ اللَّهِ تَعَالَى وَلَا يَدِينُ فِي الْقَضَاءِ، كَذَا فِي الْبَدَائِعِ. وَلَوْ سَلَّمَ عَلَى قَوْمٍ فُلَانٌ فِيهِمْ حَنِثَ وَإِنْ لَمْ يَعْلَمْ وَلَوْ اسْتَثْنَاهُ بِأَنْ قَالَ: السَّلَامُ عَلَيْكُمْ إلَّا عَلَى فُلَانٍ لَمْ يَحْنَثْ وَلَوْ قَالَ: إلَّا عَلَى وَاحِدٍ وَعَنَاهُ صُدِّقَ كَذَا فِي الْعَتَّابِيَّةِ"". ( كِتَابُ الْأَيْمَانِ وَفِيهِ اثْنَا عَشَرَ بَابًا، الْبَابُ السَّادِسُ فِي الْيَمِينِ عَلَى الْكَلَامِ، ٢ / ٩٧ - ٨٨) </span>فقط واللہ اعلم</p></p>",144105200214,banuri,"('طلاق', 'talaaq')","('تعلیقِ طلاق (مشروط طلاق دینا)', 'talaq-ki-taleeq')","('طلاق کو معلق کرنا', 'talaq-ko-muallaq-karna')"
13-01-2020,https://www.banuri.edu.pk/readquestion/منگل-اور-بدھ-کے-روز-گوشت-کا-ناغہ-144105200582/13-01-2020,منگل اور بدھ کے روز گوشت کے ناغے کی شرعی حیثیت کیا ہے؟,پاکستان میں منگل اور بدھ کے روز گوشت کا ناغہ کیوں ہوتا ہے؟  قرآن اور حدیث میں اس کی کیا شرعی حیثیت ہے؟,"<p><p style=""text-align:justify;"">منگل اور بدھ کے روز گوشت کا ناغہ کرنا انتظامی نوعیت کا معاملہ ہے، کسی بھی دن ناغہ کرنا شرعاً ممنوع نہیں ہے۔ فقط واللہ اعلم</p></p>",144105200582,banuri,"('متفرق کتب', 'mutafarriq-kutub')","('متفرق ابواب', 'mutafarriq-abwab')","('متفرق فصول', 'mutafarriq-fusool')"
28-12-2019,https://www.banuri.edu.pk/readquestion/تمباکو-نوشی-سے-نجات-144105200002/28-12-2019,تمباکو نوشی سے نجات,تمباکو نوشی سے نجات حاصل کرنے کا کوئی وظیفہ تجویز کر دیں!,"<p><p style=""text-align:justify;"">سورۂ مؤمن/غافر کی ابتدائی آیات  <span class=""ar_writing"">{حم (1) تَنْزِيلُ الْكِتَابِ مِنَ اللَّهِ الْعَزِيزِ الْعَلِيمِ (2) غَافِرِ الذَّنْبِ وَقَابِلِ التَّوْبِ شَدِيدِ الْعِقَابِ ذِي الطَّوْلِ لَا إِلَهَ إِلَّا هُوَ إِلَيْهِ الْمَصِيرُ }</span>[غافر: 1 - 3]   پڑھ کر اپنے اوپر بھی دم کیجیے،  اور پانی پر پھونک کر وہ پانی  بھی پییں،  ان شاء اللہ، اللہ تعالیٰ اس عادت سے چھٹکارا نصیب فرمائیں گے۔ فقط واللہ اعلم</p></p>",144105200002,banuri,"('علوم و فنون', 'uloom-funoon')","('دعائیں، اوراد اور وظائف', 'adeya-azkar')","('اوراد ووظائف', 'aurad-o-wzaif')"
08-01-2020,https://www.banuri.edu.pk/readquestion/تعبیر-الرؤیا-144105200416/08-01-2020,خواب میں جسم کے اعضاء اور بیمار گائے کاگوشت وغیرہ دیکھنا,1- مجھے خواب میں اپنے ناف(پیٹ والی سنڈی) سے سوراخ نظر آئے۔ مطلب وہاں پر زخم ہے اورا س میں سے پانی سا نکل رہا ہے۔اور ساتھ ہی میں میرے ہاتھوں میں کلیجی اور پھپھڑے کا حصہ تھا جیسے وہ میرے پیٹ سے نکلے ہو ں۔ وہ سب دیکھ کر میں بہت زیادہ پریشان ہوتا ہوں۔ پھر میرے علاقے کا ایک لڑکا مجھے کہتا ہے کہ یہ تو بہت بڑی بیماری ہے، اگر آپ نے ٹھیک ہونا ہے تو آپ کا تین لاکھ روپے کا آپریشن ہو گا تو آپ کی جان بچ سکتی ہے۔2- اسی طرح دوبارہ سوتا ہوں تو پھر دیکھتا ہوں کہ اپنے ہم سائے  کی ایک بیمار گائے ذبح ہوتی ہے اور میری بڑی بھابھی مجھے آکر گائے کا گوشت دکھا تی ہے اور میں اسے کہتاہوں کہ یہ کوئی گوشت ہے؟یہ توچھیچھڑے ہیں، میں نہیں کھاتا۔ میرا دل نہیں مانتا کہ کسی بیمار ذبح جانور میں سے کچھ کھاؤں۔جب یہ سب باتیں ہوتی ہیں تب میں اور میری امی روڈ پر کھڑے ہو تے ہیں۔اس خواب کی تعبیر بتادیجیے!,"<p><p style=""text-align:justify;"">آپ یاتو کسی حرام نشے میں مبتلا ہیں یا حرام کاروبار میں، جس کا نقصان آپ کو بھی پہنچ چکا ہے اور آپ کی اولاد کو بھی (اگر آپ صاحبِ اولاد ہیں) اور روز بروز مالی تنگی میں بھی مبتلا ہورہے ہیں؛ لہٰذا توبہ کریں۔  فقط واللہ اعلم</p></p>",144105200416,banuri,"('علوم و فنون', 'uloom-funoon')","('تعبیر الرؤیا', 'mutafarriq-deeni-uloom')","('بعض خوابوں کی تعبیر', 'baaz-khuwabon-ki-taabeer')"
16-01-2020,https://www.banuri.edu.pk/readquestion/ایصال-ثواب-کا-ثبوت-144105200729/16-01-2020,ایصالِ ثواب کا ثبوت,ایصالِ ثواب کی قرآن یا حدیث سے دلیل دیں!,"<p><p style=""text-align:justify;"">اعمال کا ایصالِ ثواب کئی صحیح احادیث سے ثابت ہے:</p><p style=""text-align:justify;"">حضرت سعد بن عبادہ رضی اللہ عنہ رسول اللہ صلی اللہ علیہ وسلم کی خدمت میں حاضر ہوئے اور عرض کیا: میری والدہ کا انتقال ہو گیا ہے، ان کے لیے کیا  صدقہ افضل ہے؟ آپ ﷺ نے فرمایا: پانی،  انہوں نے ایک کنواں کھدوایا، اور فرمایا کہ یہ سعد کی والدہ کے لیے ہے۔</p><p style=""text-align:justify;""><span class=""ar_writing"">مشكاة المصابيح (1/ 597):</span></p><p style=""text-align:justify;""><span class=""ar_writing"">""وعن سعد بن عبادة قال: يا رسول الله إن أم سعد ماتت، فأي الصدقة أفضل؟ قال: «الماء» . فحفر بئراً وقال: هذه لأم سعد. رواه أبو داود والنسائي"".</span></p><p style=""text-align:justify;"">حضرت ابوہریرہ رضی اللہ عنہ سے روایت ہے کہ ایک شخص نے نبی علیہ السلام سے پوچھا : میرے والد کا انتقال ہوگیا ہے اور انہوں نے اپنے پیچھے مال چھوڑا ہے، لیکن کوئی وصیت نہیں کی۔ اگر میں ان کی جانب سے صدقہ خیرات کردوں، کیا ان کے گناہوں کے لیے معافی کا ذریعہ ہوجائے گا؟ فرمایا: ہاں! تمہارے صدقات سے ان کے گناہوں کا کفارہ ہوجائے گا۔</p><p style=""text-align:justify;""><span class=""ar_writing"">صحيح مسلم (3/ 1254):</span></p><p style=""text-align:justify;""><span class=""ar_writing"">""عن أبي هريرة، أن رجلاً قال للنبي صلى الله عليه وسلم: إن أبي مات وترك مالاً، ولم يوص، فهل يكفر عنه أن أتصدق عنه؟ قال: «نعم»"".</span></p><p style=""text-align:justify;"">حضرت ابواُسید مالک بن ربیعہ فرماتے ہیں کہ ہم حضورﷺ کے پاس موجود تھے کہ اتنے میں بنو سلمہ کا ایک شخص آیا اور اُس نے نبی کریمﷺسےدریافت کیا:یا رسول اللہ! میرے والدین کی وفات کے بعد بھی ان کے ساتھ حسنِ سلوک کی کوئی صورت ہے، جس کو میں اختیار کروں؟ فرمایا: ہاں! ان کے لیے دُعا و اِستغفار کرنا، ان کے بعد ان کی وصیت کو نافذ کرنا، ان کے متعلقین سے صلہ رحمی کرنا، اور ان کے دوستوں سے عزّت کے ساتھ پیش آنا۔</p><p style=""text-align:justify;""><span class=""ar_writing"">سنن أبي داود (4/ 336):</span></p><p style=""text-align:justify;""><span class=""ar_writing"">""عن أسيد بن علي بن عبيد، مولى بني ساعدة عن أبيه، عن أبي أسيد مالك بن ربيعة الساعدي، قال: بينا نحن عند رسول الله صلى الله عليه وسلم: إذ جاء ه رجل من بني سلمة، فقال: يا رسول الله، هل بقي من بر أبوي شيء أبرهما به بعد موتهما؟ قال: «نعم الصلاة عليهما، والاستغفار لهما، وإنفاذ عهدهما من بعدهما، وصلة الرحم التي لاتوصل إلا بهما، وإكرام صديقهما»"".</span></p><p style=""text-align:justify;"">اس طرح کی اور بھی بہت سی روایات ثابت ہیں، جن سے معلوم ہوتا ہے کہ ایصالِ ثواب بر حق ہے۔ اور ایصالِ ثواب جس طرح وفات پانے والے افراد کے لیے ہوتاہے، اسی طرح زندوں کے لیے بھی ثابت ہے، رسول اللہ ﷺ نے جانور قربان کرتے ہوئے امتِ محمدیہ کے ان افراد کی طرف سے بھی نیت فرمائی جنہوں نے قربانی نہیں کی۔  حنش کہتے ہیں: میں نے حضرت علی رضی اللہ عنہ کو قربانی کرتے ہوئے دیکھا، تو میں نے عرض کیا کہ یہ کیا ہے؟ حضرت علی رضی اللہ عنہ نے فرمایا: مجھے رسول اللہ ﷺ نے وصیت فرمائی تھی کہ میری طرف سے قربانی کیا کروں، چناں چہ میں آپ ﷺ کی طرف سے قربانی کر رہاہوں۔ </p><p style=""text-align:justify;"">نیز میت کے حق میں دعا اور استغفار مستقل نیک عمل ہے، اور اس کا فائدہ میت کو پہنچنا قرآنِ مجید سے بھی ثابت ہے، چناں چہ سورہ حشر  کی آیت نمبر 10 میں ارشادِ باری تعالیٰ ہے:</p><p style=""text-align:justify;""> </p><p style=""text-align:justify;""><span class=""ar_writing"">{وَالَّذِينَ جَاءُوا مِن بَعْدِهِمْ يَقُولُونَ رَبَّنَا اغْفِرْ لَنَا وَلِإِخْوَانِنَا الَّذِينَ سَبَقُونَا بِالْإِيمَانِ وَلَا تَجْعَلْ فِي قُلُوبِنَا غِلًّا لِّلَّذِينَ آمَنُوا رَبَّنَا إِنَّكَ رَءُوفٌ رَّحِيمٌ}</span> فقط واللہ اعلم</p><p style=""text-align:justify;"">اس مسئلے کی مزید تفصیل کے لیے درج ذیل لنک پر فتاویٰ ملاحظہ کیجیے:</p><p style=""text-align:justify;""><a href=""https://www.banuri.edu.pk/readquestion/%DA%A9%DB%8C%D8%A7-%D8%A7%DB%8C%D8%B5%D8%A7%D9%84-%D8%AB%D9%88%D8%A7%D8%A8-%D8%AC%D8%A7%D8%A6%D8%B2-%DB%81%DB%92-144102200141/21-10-2019"">کیا ایصالِ ثواب جائز ہے؟</a></p><p style=""text-align:justify;""><a href=""https://www.banuri.edu.pk/readquestion/%D8%A7%DB%8C%D8%B5%D8%A7%D9%84-%D8%AB%D9%88%D8%A7%D8%A8-%DA%A9%D8%A7-%D8%AB%D8%A8%D9%88%D8%AA/08-03-2019"">ایصالِ ثواب کا ثبوت</a></p></p>",144105200729,banuri,"('جنائز', 'janaiz')","('ایصالِ ثواب', 'ieesaal-e-sawaab')","('ایصالِ ثواب اور تعزیت', 'esaal-e-sawab-or-taziyat')"
18-01-2020,https://www.banuri.edu.pk/readquestion/مقروض-پاکستانی-عوام-پر-حج-کی-فرضیت-144105200777/18-01-2020,مقروض پاکستانی عوام پر حج کی فرضیت,اخبار میں لکھاہواتھاکہ ہر پاکستانی ایک لاکھ پندرہ ہزار مقروض ہے، ایک صاحب نے کہا کہ اتنے پیسے ہوں کہ قرض(ایک لاکھ پندرہ ہزرا) کے بغیر انسان حج کرسکے زاد راحلہ گھر کا نفقہ کے ساتھ پھر حج فرض ہوگایعنی مقروض قرض کو منہا کرے گا،  پھر باقی ماندہ پیسوں سے حج کرے گا کیا اسی طرح ہے ؟,"<p><p style=""text-align:justify;"">صورتِ مسئولہ میں حکم رانوں  کی جانب سے قرضہ لینے کی وجہ سے رعایا کے ہر فرد کے مقروض ہونے کا جو حساب لگایا گیا ہے، اس کی وجہ سے زکاۃ اور حج کی فرضیت کے لیے حساب کردہ رقم کے علاوہ رقم کا ہونا شرط نہیں۔ اس مسئلے سے متعلق جامعہ سے تفصیلی فتویٰ جاری ہوچکا ہے، درج ذیل لنک پر جاری شدہ فتوی سے استفادہ کیا جا سکتا ہے:</p><p style=""text-align:justify;"">https://www.banuri.edu.pk/readquestion/حکمران-کے-قرضہ-لینے-کی-وجہ-سے-رعایا-میں-سے-ہر-ایک-کا-مقروض-ہوجانا-وجوب-زکوة-سے-مانع-ہونے-کا-سبب-شمار-ہوگا/20-06-2019</p><p style=""text-align:justify;"">فقط واللہ اعلم</p></p>",144105200777,banuri,"('حج', 'haj')","('حج / عمرہ', 'hajj-umrah')","('فرضیت وشرائط حج', 'fardhiyat-o-sharaait-haj')"
10-12-2019,https://www.banuri.edu.pk/readquestion/بڑی-ٹینکی-میں-چوہا-گرگیا-144104200421/10-12-2019,بڑی ٹینکی میں چوہا گرگیا,پانی کی بڑی سرکاری ٹینکی جس میں چوہا گر کر مر گیا اور پھٹا نہیں، نکال دیا گیا،  تو اب اس ٹینکی کا اور پانی کا کیا حکم ہے؟,"<p><p style=""text-align:justify;"">مذکورہ ٹینکی اگر 225 اسکوائر فٹ سے بڑی ہو تو بڑے حوض کی مانند اس کے پانی کا حکم جاری پانی والا ہوگا، یعنی جس طرف چوہا گرکر مرا ہے اور پھولنے،  پھٹنے سے پہلے نکال لیا گیا اور وہاں نجاست کے اثرات بھی نہیں رہے تو اس جگہ سے طہارت حاصل کی جاسکتی ہے۔ اور اگر مذکورہ ٹینکی 225 اسکوائر فٹ سے چھوٹی ہو تو اس میں چوہے کے گرنے اور مرنے سے اس ٹنکی کا پانی ناپاک  ہو گا،  اور اس ٹینکی کوپاک کرنے کے لیے اگر چوہے کے اجزا باقی ہوں تو انہیں نکالنا ضروری ہوگا، جب تک وہ اجزا موجود ہوں وہ پاک نہیں ہوگی، اس لیے اولاً انہیں نکالا جائے گا اور اس کو خالی کرکے تین مرتبہ دھویا جائے گا ، اور ہر مرتبہ اس کے پانی کو نکالا جائے گا اور اگر یہ مشکل ہو تو   چوہے کے اجزا نکالنے کے بعد اس میں ایک جانب سے پانی داخل کیا جائے اوردوسری جانب سے  بہتا چھوڑ دیا جائے یہاں تک کہ ٹینکی کے پانی سے بدبو ختم ہوجائے اور اس کا ذائقہ معمول کے مطابق ہوجائے۔ ایسا کرنے سے ٹینکی پاک ہو جائے گی۔</p><p style=""text-align:justify;""><span class=""ar_writing"">البحر الرائق شرح كنز الدقائق(1 / 461):<br/>
""فعلى هذا إذا وقعت الفأرة في الصهريج أو الفسقية ولم يكونا عشرًا في عشر ، فإنّ الماء كلّه يهراق كما لايخفى ... الخ</span>فقط واللہ اعلم</p></p>",144104200421,banuri,"('طہارت', 'taharat')","('پانی کے احکام', 'pani-k-ahkam')","('پانی کی اقسام اور احکام', 'pani-k-ahkam')"
