issued_at,link,title,question,answer,fatwa_number,dar_ul_ifta,kitab,bab,fasal
18-01-2020,https://www.banuri.edu.pk/readquestion/کینگرو-کھانے-کا-حکم-144105200786/18-01-2020,کینگرو کھانے کا حکم,کیا اسلام میں کینگرو کھانا حلال ہے؛ کیوں کہ اس کے بارے میں ہم نے بہت جگہ حلال ہونے کے بارے میں سنا ہے، صحیح بات بتادیں!,"<p><p style=""text-align:justify;"">’’کینگرو‘‘  حلال جانور ہے ؛ کیوں کہ اس میں ہماری معلومات کی حد تک حرمت کی کوئی دلیل(  گوشت خور یا درندہ صفت ہونا،  گندگی کھانے والا ہونا  ، پلید ہونا)نہیں پائی جاتی۔</p><p style=""text-align:justify;"">ماہرینِ علمِ حیوانات کے مطابق یہ گھاس خور جانور ہے،  گوشت خور یا درندہ نہیں ہے،  نہ ہی گندگی کھانے والا ہے،  اور نہ ہی خبائث میں داخل ہے۔ (ہندیہ: ٥ / ٢٨٩، شامی: ٤ / ٣٠٤)  فقط واللہ اعلم</p></p>",144105200786,banuri,"('حظر و اباحت', 'mamnooaat-mubahat')","('ماکولات / مشروبات', 'makoolat-mashroobat')","('کھانے پینے کی حلال و حرام ، مکروہ و مباح اشیاء', 'khanay-penay-ki-halal-o-haram-makroh-o-mubah-ashya')"
15-01-2020,https://www.banuri.edu.pk/readquestion/دو-ماہ-کی-حاملہ-سے-جماع-144105200693/15-01-2020,دو ماہ کی حاملہ سے جماع,کیا 2 ماہ کی حاملہ بیوی سے جماع جائزہے؟ اور کب تک جائز ہے، مطلب وضع حمل سے کتنا پہلے تک ؟,"<p><p style=""text-align:justify;"">حالتِ حمل میں کسی بھی وقت بیوی سے ہم بستری کرنا شرعاً جائز ہے، بلکہ فقہاء نے لکھا ہے کہ حالتِ حمل میں ہم بستری کرنے سے بچے کے بال بڑھتے ہیں اور اس کی بینائی اور سماعت بھی تیز ہوتی ہے، البتہ اگر کوئی دِین دار و ماہر طبیب یا ڈاکٹر کسی عذر کی بنا پر احتیاط کا مشورہ دے تو اس کی بات پر عمل کرنا چاہیے۔</p><p style=""text-align:justify;"">"" <strong>الدر المختار مع ردالمحتار""</strong> میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">""لئلا يسقي ماء ه زرع غيره؛ إذ الشعر ينبت منه.<br/>
(قوله: إذ الشعر ينبت منه) المراد ازدياد نبات الشعر، لا أصل نباته، ولذا قال في التبيين والكافي : لأن به يزداد سمعه وبصره حدةً كما جاء في الخبر. اهـ.<br/>
وهذه حكمته، وإلا فالمراد المنع من الوطء ؛ لما في الفتح قال رسول الله صلى الله عليه وسلم : «لايحل لامرئ يؤمن بالله واليوم الآخر أن يسقي ماء ه زرع غيره». يعني إتيان الحبلى. رواه أبو داود والترمذي وقال:حديث حسن. اهـ. شرنبلالية"". (الدر المختار مع رد المحتار (3/ 49) </span> فقط واللہ اعلم</p></p>",144105200693,banuri,"('حقوق و آدابِ معاشرت', 'huqooq-muashret')","('حقوق', 'bahmi-huqooq')","('میاں ، بیوی کے حقوق', 'mian-biwi-k-huqooq')"
10-11-2019,https://www.banuri.edu.pk/readquestion/نزاع-کی-تکلیف-مسلمان-کے-لئے-نیکی-ہے-144103200263/10-11-2019,نزع کی تکلیف مسلمان کے لیے نیکی ہے,نزع کی کیفیت طویل ہوجائے، تین چار دن۔ کیا اس پر کوئی اجر اللہ تعالی کی طرف سے ہے۔ نیز یہ بھی بتائیں، یہ طوالت کس طرف اشارہ کرتی ہے؟,"<p><p style=""text-align:justify;"">نزع کے وقت مسلمان کو جو تکلیف ہوتی ہے اس پر اللہ رب العزت کی جانب سے نیکیاں عطا کی جاتی ہیں، جیساکہ سنن ابن ماجہ  میں بروایت حضرت عائشہ رضی اللہ عنہا مروی ہے کہ رسول اللہ صلی اللہ علیہ وسلم ان کے پاس تشریف لائے اس حال میں کہ ان کے پاس ان کا کوئی قریبی رشتہ دار موت کی سختی میں مبتلا تھا، رسول اکرم صلی اللہ علیہ وسلم نے مشاہدہ فرماکر حضرت عائشہ رضی اللہ عنہا سے فرمایا: اپنے رشتہ دار پر غمگین نہ ہو، اس لیے کہ یہ اس کی نیکیاں ہیں۔</p><p style=""text-align:justify;""><span class=""ar_writing"">1451 - حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ قَالَ: حَدَّثَنَا الْوَلِيدُ بْنُ مُسْلِمٍ قَالَ: حَدَّثَنَا الْأَوْزَاعِيُّ، عَنْ عَطَاءٍ، عَنْ عَائِشَةَ، أَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ دَخَلَ عَلَيْهَا وَعِنْدَهَا حَمِيمٌ لَهَا يَخْنُقُهُ الْمَوْتُ، فَلَمَّا رَأَى النَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ مَا بِهَا قَالَ لَهَا «لَا تَبْتَئِسِي عَلَى حَمِيمِكِ، فَإِنَّ ذَلِكَ مِنْ حَسَنَاتِهِ»  </span></p><p style=""text-align:justify;""><span class=""ar_writing"">[شرح محمد فؤاد عبد الباقي]:</span></p><p style=""text-align:justify;""><span class=""ar_writing"">[ش (حميم) أي قريب. (يخنقه) أي يضيق عليه. (لا تبتئس) أي لا تحزني] ( بَابُ مَا جَاءَ فِي الْمُؤْمِنِ يُؤْجَرُ فِي النَّزْعِ، الحديث: 1451، 1 / 467)</span></p><p style=""text-align:justify;"">نیز حضرت عائشہ رضی اللہ عنہا سے ہی اس مضمون کی روایت ہے کہ جب سے رسول اللہ ﷺ کی وفات کی تکلیف میں نے دیکھی، اب میں کسی (مسلمان) میت کی حالتِ نزع کی تکلیف کو اس کے حق میں برا نہیں سمجھتی۔ </p><p style=""text-align:justify;"">پس مذکورہ حدیث سے معلوم ہوتا ہے کہ نزاع کے وقت ہونے والی سختی مرنے والے کی بد اعمالیوں کا ہر گز نتیجہ نہیں ہوتی، مسلمان کے حق میں اس پر اجر و ثواب اور گناہوں کی معافی کی ہی امید رکھنی چاہیے۔ فقط واللہ اعلم</p></p>",144103200263,banuri,"('جنائز', 'janaiz')","('نماز جنازہ', 'namaz-e-jinazah')","('جنازہ اور نماز جنازہ کے احکام (فرائض، سنن، مستحبات، مکروہات)', 'janaza-or-namaz-e-janaza')"
29-07-2019,https://www.banuri.edu.pk/readquestion/کسی-مسلمان-کو-منافق-کہنے-سے-کیا-نکاح-ٹوٹ-جاتا-ہے/29-07-2019,کسی مسلمان کو منافق کہنے سے کیا نکاح ٹوٹ جاتا ہے؟,کیا ایسا عالم جو غلط کام کرتا ہو، غیر شرعی تعویذ کرتا ہو اور منافقت کرتا ہو .کہتا کچھ اور ہو کرتا کچھ اور ہو،  کیا ایسے عالم کو ’’منافق‘‘  کہنے سے نکاح ٹوٹ جاتا ہے؟,"<p><p style=""text-align:justify;"">آپ کے سوال کے دو جز ہیں: ایک:  کسی مسلمان کو منافق کہنا۔ دوسرا:  کسی کو منافق کہنے سے نکاح ٹوٹنے کا حکم۔</p><p style=""text-align:justify;"">واضح رہے کہ نفاق ایک مخفی بیماری ہے، جس کے بارے میں بالیقین فیصلہ کرنے کا کسی  کو حق نہیں، صحابہ کرام رضی اللہ عنہم سے منقول ہے کہ نفاق کا فیصلہ رسول اللہ ﷺ کے دور کے ساتھ خاص تھا، اب یا تو مؤمن ہے یا کافر۔ لہٰذا کسی مسلمان کو  متعینہ طور پر منافق کہنا جائز نہیں ہے۔ بدعملی بے شک گناہ ہے، دوسروں کو نیکی کی تلقین کرنا اور خود عمل نہ کرنا بھی بلاشبہ کوتاہی ہے، لیکن اس کی وجہ سے کسی کو منافق کہنے کا حق نہیں ہے۔  جیسے کسی مسلمان کو گالی دینا یا کافر کہنا حرام ہے، اسی طرح منافق کہنا بھی ناجائز ہے۔ لہٰذا جس کسی نے متعینہ طور پر کسی مسلمان کو منافق کہا ہو تو اسے چاہیے کہ اس سے معافی مانگ لے، ورنہ صاحبِ حق بدلے کا حق رکھتاہے۔ آئندہ بھی اس سے اجتناب ضروری ہے۔</p><p style=""text-align:justify;"">جہاں تک  ان کلمات سے نکاح ٹوٹنے کا حکم ہے، تو   کسی کو منافق کہنے سے کہنے والے کا نکاح نہیں ٹوٹتا۔ فقط واللہ اعلم</p></p>",144010201208,banuri,"('ایمان و عقائد', 'aqaed')","('کفر و شرک اور ان کے احکام', 'kufr-o-shirk-aur-un-k-ahkam')","('کفر و شرک اور ان کی اقسام', 'kufr-o-shirk-aur-un-ki-aqsaam')"
23-10-2019,https://www.banuri.edu.pk/readquestion/پائپ-کے-ذریعہ-مربوط-کرنے-کی-وجہ-سے-ٹینکیوں-کے-پانی-کا-حکم-2/23-10-2019,پائپ کے ذریعہ مربوط کرنے کی وجہ سے ٹینکیوں کے پانی کا حکم,پانی کی مختلف ٹنکیاں آپس میں مربوط کردینے کی وجہ  سے وہ پانی جاری پانی کے حکم ہوگا یا نہیں؟  مثلاً 19ٹنکیوں کو  پائپ کے ذریعے آپس میں مربوط کردیا جائے تو وہ پانی جاری پانی کے حکم میں ہوگا یا نہیں؟  اگر اس میں نجاست گر جائے تو کیا حکم ہے ؟,"<p><p style=""text-align:justify;"">اگر کسی ٹینکی کا پانی ناپاک ہو جائے اور اس میں ایک طرف سے پانی داخل کیا جائے اور دوسری طرف سے پائپ کے ذریعہ اس کا پانی نکل رہا ہو تو ایسی ٹینکی کے پانی کو جاری کہا جائے گا، اور جاری ہونے کی وجہ سے (اگر اس میں نجاست کوئی وصف یعنی رنگ، ذائقہ یا بو محسوس نہ ہو تو) وہ پاک ہو جائے گا؛  لہذا ٹینکیوں کو باہم مربوط کرنے کی وجہ سے اگر ایک ٹینکی کا پانی اس ٹینکی سے دوسری میں منتقل ہو جاتا ہے تو یہ جاری ہو گا اور اگر اس پانی میں نجاست کا کوئی اثر نہ ہو تو وہ پاک شمار ہوگا۔</p><p style=""text-align:justify;""><span class=""ar_writing"">الفتاوى الهندية (1/ 17):<br/>
""حوض صغير تنجس ماؤه فدخل الماء الطاهر فيه من جانب وسال ماء الحوض من جانب آخر"".</span></p><p style=""text-align:justify;""><span class=""ar_writing"">الدر المختار وحاشية ابن عابدين (رد المحتار) (1/ 187):<br/>
""والعرف الآن أنه متى كان الماء داخلًا من جانب وخارجًا من جانب آخر يسمى جاريًا وإن قل الداخل"". </span> فقط واللہ اعلم</p></p>",144102200182,banuri,"('طہارت', 'taharat')","('پانی کے احکام', 'pani-k-ahkam')","('پانی کی اقسام اور احکام', 'pani-k-ahkam')"
25-09-2019,https://www.banuri.edu.pk/readquestion/عورت-کا-اذان-دینا-144012201434/25-09-2019,عورت کا اذان دینا,اگر کسی جگہ صرف عورتیں ہوں اور نماز کا وقت ہوجائے تو کیا  ان کے لیے بھی  اذان دینا ضروری ہے؟  میرا پوچھنے کا مقصد ے  ہے کہ اذان اور اقامت عورتوں  کے لیے بھی ہیں یا نہیں؟,"<p><p style=""text-align:justify;"">عورتوں کے لیے اذان  یا اقامت کہنا جائز نہیں ہے، خواہ  وہ کہیں مقیم ہوں یا سفر میں ہوں۔ اذان اور اقامت ایسے اعمال ہیں جن کی انجام دہی مردوں کے ساتھ خاص ہے۔  مردوں کی کہی ہوئی اذان ان کے لیے بھی کافی ہے۔ اگرنماز کے لیے عورت نے اذان دی تو اس کا اعادہ کیا جائےگا۔ عورت نماز سے پہلے بھی اقامت نہیں کہے گی۔  </p><h3 style=""text-align:justify;""><span class=""ar_writing""><a href=""https://books.google.com.my/books?id=So1MCwAAQBAJ&amp;pg=PT117&amp;lpg=PT117&amp;dq=%D8%B9%D9%88%D8%B1%D8%AA+%D8%A7%D8%B0%D8%A7%D9%86&amp;source=bl&amp;ots=-M6KNke3uq&amp;sig=ACfU3U3nbfaEAX0VIi_9scjotmVnH0tocw&amp;hl=en&amp;sa=X&amp;ved=2ahUKEwikurSn5IblAhUL6Y8KHcMpA_A4FBDoATADegQIBxAB"">الموسوعة الفقهية - ج 22</a>:</span></h3><p style=""text-align:justify;""><span class=""ar_writing"">""د - اختصاص الأذان بالرجال دون النساء :</span></p><p style=""text-align:justify;""><span class=""ar_writing"">٥ - من الشروط الواجبة في المؤذن أن يكون رجلاً"".</span></p><p style=""text-align:justify;""><span class=""ar_writing"">""ویکره أذان … امرأة"". (الدر المختار ۱/۳۶۴ باب الأذان)</span></p><p style=""text-align:justify;""><span class=""ar_writing"">""وکذا یعاد أذان امرأة"". (الدر المختار ۱/۳۶۵ایضاً)</span> فقط واللہ اعلم</p></p>",144012201434,banuri,"('نماز', 'salat')","('اذان', 'azan')","('اذان و اقامت', 'azan-o-iqamat')"
25-06-2019,https://www.banuri.edu.pk/readquestion/نسوار-پان-بیڑی-سیگریٹ-اور-گٹکا-کھانا/25-06-2019,نسوار، پان، بیڑی، سیگریٹ اور گٹکا کھانا,نسوار،  پان،  بیڑی،  سیگریٹ،  گٹکا وغیرہ کا کیا حکم ہے؟ یہ حرام ہے یا مکروہ؟  اگرمکروہ ہے تو کس قدر؟  اور ان میں اور شراب میں کیا فرق ہے؟ حال آں کہ دونوں ہی نشہ آور ہیں، تو حکم کا اختلاف کیوں؟,"<p><p style=""text-align:justify;"">نسوار، پان، بیڑی اور سگریٹ کا استعمال فی نفسہ مباح ہے، البتہ سگریٹ اور بیڑی منہ میں بدبو کا باعث ہونے کی وجہ سے ناپسندیدہ ہے، لہٰذا مذکورہ اشیاء اگر استعمال کی ہوں تو منہ صاف کرکے بدبو زائل کرکے نماز و تلاوت کرنا چاہیے۔</p><p style=""text-align:justify;"">جہاں تک گٹکے کی بات ہے تو یہ صحت کے لیے مضر ہے، اس لیے اس سے اجتناب لازم ہے۔</p><p style=""text-align:justify;"">تاہم ان اشیاء میں ایسا نشہ نہیں ہوتا ہے جس کی وجہ سے عقل مغلوب ہو جائے؛  اس لیے اسے نشہ آور نہیں کہا جا سکتا، بلکہ ان کے استعمال کی عادت پڑجانے کی وجہ سے ان کا ترک مشکل ہوجاتاہے، اور جب ان اشیاء کا عادی ان چیزوں کا استعمال نہ کرے تو اسے سر میں درد ہوتاہے، یا مشکل پیش آتی ہے، جیساکہ بعض لوگوں کو چائے کی ایسی عادت ہوجاتی ہے۔</p><p style=""text-align:justify;"">اور شراب چوں کہ قرآنِ مجید اور احادیثِ مقدسہ کی رو سے صریح حرام ہے، اس لیے وہ حرام ہے، اور شراب کے لیے عربی زبان میں ’’خمر‘‘ کا لفظ استعمال ہوتاہے، شرعی اور لغوی دونوں اعتبار سے ’’خمر‘‘ ایک خاص مشروب ہے جو انگور یا کھجور سے خاص کیفیت سے تیار کیا جاتاہے، اس میں شدت اور جھاگ پیدا ہوجاتی ہے۔ یہ بنصِّ قرآنی رجس (نجس) اور حرام ہے، اس کا پینا شیطانی عمل ہے، اور احادیثِ مبارکہ میں اس کی وجہ سے دس طرح کے لوگوں پر لعنت وارد ہوئی ہے، یعنی پینے والا، پلانے والا، خریدنے والا، بیچنے والا، اسے اٹھاکر لے جانے والا۔۔۔ وغیرہ وغیرہ</p><p style=""text-align:justify;"">ہر نشہ آور چیز  یا ہر نشہ آور مشروب کو نہ تو لغۃً ’’خمر‘‘ (شراب)  کہا جاتاہے، نہ ہی شرعی اعتبار سے وہ ’’خمر‘‘ (شراب) ہے۔ نیز نشہ آور اشیاء کے استعمال سے پیدا ہونے والے نشے سے مراد ایسی کیفیت ہے جس سے انسان کی چال میں فرق آجائے، یا وہ رشتوں میں تمییز کھوبیٹھے، وغیرہ۔ نشہ سے مراد کسی چیز کی مطلقاً عادت یا اس کے چھوڑنے سے سر  میں درد پیدا ہونا نہیں ہے۔</p><p style=""text-align:justify;"">بہرحال اگر ’’خمر‘‘ کے علاوہ کسی مشروب سے ایسا نشہ پیدا ہوجائے جس سے عقل مغلوب ہوجائے اور اس کی چال میں فرق آجائے یا وہ رشتوں کا فرق اور اس حالت میں انسان کی پہچان کھوبیٹھے تو اس نشہ آور مشروب کو بھی ناجائز کہا جائے گا، لیکن اسے ’’خمر‘‘ (شراب) پھر بھی نہیں کہا جائے گا، جس حدیثِ مبارک میں ہر نشہ آور چیز کو حرام کہا گیا ہے، اس سے ایسے ہی نشہ آور مشروب مراد ہیں۔ نیز ’’خمر‘‘ (شراب) اور دیگر نشہ آور مشروب کے حکم میں حدّ کے اجرا، نجاست کی شدت اور دیگر بہت سے اعتبارات سے پھر بھی فرق رہے گا۔ </p><p style=""text-align:justify;"">فتاوی رشیدیہ میں ہے:</p><p style=""text-align:justify;"">’’سوال: حقہ پینا ، تمباکو کا کھانا یا سونگھنا کیسا ہے؟ حرام ہے یا مکروہ تحریمہ یا مکروہ تنزیہہ ہے؟  اور تمباکو فروش اور نیچے بند کے گھر کا کھانا کیسا ہے؟</p><p style=""text-align:justify;"">جواب: حقہ پینا، تمباکو کھانا مکروہِ تنزیہی ہے اگر بو آوے،  ورنہ کچھ حرج نہیں اور تمباکو فروش کا مال حلال ہے، ضیافت بھی اس کے گھر کھانا درست ہے‘‘۔ ( کتاب جواز اور حرمت کے مسائل، ص: 552، ط: ادراہ صدائے دیوبند) فقط واللہ اعلم</p></p>",144010200376,banuri,"('حظر و اباحت', 'mamnooaat-mubahat')","('ماکولات / مشروبات', 'makoolat-mashroobat')","('کھانے پینے کی حلال و حرام ، مکروہ و مباح اشیاء', 'khanay-penay-ki-halal-o-haram-makroh-o-mubah-ashya')"
14-01-2020,https://www.banuri.edu.pk/readquestion/پیدائش-کے-موقع-پر-نو-مولود-کو-دیئے-جانے-والے-تحفہ-کا-حکم-144105200649/14-01-2020,پیدائش کے موقع پر نو مولود کو دیے جانے والے تحفہ کا حکم,"ایک رسم کے متعلق راہ نمائی درکار ہے کہ جب کسی گھرانے میں بچے کی پیدائش ہوتی ہے تو پیدائش کے ساتویں روز دن یا رات کے اوقات میں گاؤں کے لوگ اور دوست احباب اس گھرانے میں آتے ہیں, مرد حضرات حجرے یعنی بیٹھک میں, جب کہ مستورات گھر میں بیٹھتی  ہیں۔ مستورات بچے کو پیسے دیتی ہیں، اور گھر والے مرد اور عورتوں کو مٹھائی کھلاتے ہیں۔اب سوال یہ ہے کہ یہ رسم منانا بدعت میں شامل ہے یا نہیں? اگر بدعت نہیں تو اس رسم کا منانا جائز ہے یا ناجائز ? اگر جائز ہے تو افضل طریقہ کیا ہوگا؟","<p><p style=""text-align:justify;"">بچے کی پیدائش پر رشتہ داروں اور دوست احباب کی جانب سے نومولود کو کا بطورِ  تحفہ نقدی یا کپڑے وغیرہ دینا فی نفسہ مباح عمل  ہے،  جو  صلہ رحمی کے طور پر  دینے کی صورت میں باعثِ اجر و  ثواب  بھی ہے۔   البتہ  جہاں لین دین کا رواج محض رسمی طور پر ہو، اور دینے لینے والوں کا مقصد صلح رحمی نہ ہو ، بلکہ تحفہ  اس غرض سے دیا جائے کہ ہماری خوشی میں بھی یہ لوگ  تحفہ دیں گے، یعنی  بدلہ چکانا یا بدلہ حاصل کرنا پیشِ نظر ہو، یا شرما حضوری میں  دینا کہ اگر نہ دیا  تو لوگ کیا کہیں گے؟ یا حیثیت  نا ہو نے  کے باوجود ، تحفہ  دینے کو ضروری سمجھنا،  اور تحفہ نہ ملنے یا کم ملنے پر  شکوہ شکایت کی جاتی ہو ،  اور حساب کتاب رکھا جاتا ہو کہ کس نے کتنا دیا کہ ہم بھی اتنا ہی انہیں واپس کریں گے، یا اس قسم کی غیرضروری پابندیوں کی رعایت کی جاتی ہو  تو اس صورت میں پیدائش کے موقع پر مذکورہ رواج   واجب الترک ہوگا۔</p><p style=""text-align:justify;"">لہذا  صورتِ مسئولہ میں پیدائش کے موقع پر   اگر محض رواج کے طور پر دینے کا اہتمام کیا جاتا ہو، تو ایسے رواج کو ترک کرنا ضروری ہوگا،  البتہ اگر کوئی برضا و خوشی تحفہ دے تو لینے کی اجازت ہوگی۔ فقط واللہ اعلم</p></p>",144105200649,banuri,"('حظر و اباحت', 'mamnooaat-mubahat')","('ماکولات / مشروبات', 'makoolat-mashroobat')","('ہدیہ اور ضیافت کے احکام', 'hadya-or-ziyafat-k-ahkam')"
14-01-2020,https://www.banuri.edu.pk/readquestion/خراب-قبر-درست-کرنے-کا-کیا-طریقہ-ہے-144105200646/14-01-2020,خراب قبر درست کرنے کا کیا طریقہ ہے؟,اگر بارش کی وجہ سے قبر خراب ہوجاۓ یا بیٹھ جاے تو اس کو کیسے درست کیا جائے؟  کیا قبر کو کھول سکتے ہیں یا پھر ویسے ہی اوپر مٹی ڈال دیں؟,"<p><p style=""text-align:justify;"">صورتِ مسئولہ میں قبر کھول کر تختے نکال کر دوبارہ درست نہ کیا جائے، بلکہ قبر کے اوپر مٹی ڈال کر درست کردیا جائے، قبر اکھاڑ کر اندر سے تختہ وغیرہ درست کرنا یا میت کو نکال کر دوسری قبر میں منتقل کرنا جائز نہیں۔</p><p style=""text-align:justify;"">فتاوی شامی میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">’’(قَوْلُهُ: وَلَايُنْبَشُ لِيُوَجَّهَ إلَيْهَا) أَيْ لَوْ دُفِنَ مُسْتَدْبِرًا لَهَا وَأَهَالُوا التُّرَابَ لَايُنْبَشُ؛ لِأَنَّ التَّوَجُّهَ إلَى الْقِبْلَةِ سُنَّةٌ، وَالنَّبْشَ حَرَامٌ، بِخِلَافِ مَا إذَا كَانَ بَعْدَ إقَامَةِ اللَّبِنِ قَبْلَ إهَالَةِ التُّرَابِ؛ فَإِنَّهُ يُزَالُ وَيُوَجَّهُ إلَى الْقِبْلَةِ عَنْ يَمِينِهِ، حِلْيَةٌ عَنْ التُّحْفَةِ‘‘. ( كتاب الصلاة، باب صلاة الجنازة، مطلب في دفن الميت، ٢ / ٢٣٦) </span></p><p style=""text-align:justify;"">فتاوى ہندیہ میں ہے:</p><p style=""text-align:justify;""><span class=""ar_writing"">""وَإِذَا خَرِبَتْ الْقُبُورُ فَلَا بَأْسَ بِتَطْيِينِهَا، كَذَا فِي التَّتَارْخَانِيَّة، وَهُوَ الْأَصَحُّ، وَعَلَيْهِ الْفَتْوَى، كَذَا فِي جَوَاهِرِ الْأَخْلَاطِيِّ"". ( ٤ / ٤٧٩) </span>فقط واللہ اعلم</p></p>",144105200646,banuri,"('جنائز', 'janaiz')","('نماز جنازہ', 'namaz-e-jinazah')","('جنازہ اور نماز جنازہ کے احکام (فرائض، سنن، مستحبات، مکروہات)', 'janaza-or-namaz-e-janaza')"
14-01-2020,https://www.banuri.edu.pk/readquestion/تراویح-کی-نماز-کو-تراویح-کہنے-کی-وجہ-144105200628/14-01-2020,تراویح کی نماز کو تراویح کہنے کی وجہ,نمازِ تروایح کو  ’’تراویح‘‘  کیوں کہا جاتا ہے اوریہ لفظ ’’تراویح‘‘  کس نے نکالا؟,"<p><p style=""text-align:justify;"">تراویح  <span class=""ar_writing"">”تَرْوِیْحَةٌ“ </span> کی جمع ہے، اور <span class=""ar_writing"">”ترویحة“ </span> ایک دفعہ آرام کرنے کو کہتے ہیں جیسے <span class=""ar_writing"">”تسلیمة“</span>  ایک مرتبہ سلام پھیرنے کو کہتے ہیں۔(فتح الباری 4/250، کتاب صلاۃ التراویح)</p><p style=""text-align:justify;"">شریعت کی اصطلاح میں ’’تراویح‘‘ وہ نماز ہے جو سنتِ مؤکدہ ہےاور رمضان المبارک کی راتوں میں عشاء کی نماز کے بعد سے صبح صادق کے درمیان پڑھی جاتی ہے۔ عام رواج اور معمول عشاء کے بعد متصل پڑھنے کا ہے۔(اوجز المسالک، 2/514 ، باب ما جاء فی قیام رمضان)</p><p style=""text-align:justify;"">اور تراویح کی نماز کا ’’تراویح‘‘ کے لفظ کے ساتھ  نام رکھنے کی وجہ یہ ہے کہ جب صحابہ کرام رضی اللہ عنہم جماعت اور اہتمام کے ساتھ پہلی مرتبہ اس نماز کو ادا کرنے کے لیے جمع ہوئے تو وہ ہر دوسلام (چاررکعتوں ) کے بعد ترویحہ یعنی آرام اور وقفہ کرتے تھے، یعنی اس نام کو صحابہ کرام رضی اللہ عنہم کے زمانے سے ہی نسبت ہے، متعینہ طور پر سب سے پہلے کس نے یہ اصطلاح استعمال کی، اس کا علم نہیں۔(فتح الباری 4/250، کتاب صلاۃ التراویح)  فقط واللہ اعلم</p></p>",144105200628,banuri,"('نماز', 'salat')","('تراویح', 'taraweeh')","('تراویح', 'taraweeh')"
13-01-2020,https://www.banuri.edu.pk/readquestion/اسلامی-بینک-سے-قسطوں-پر-گاڑی-لینا-/13-01-2020,اسلامی بینک سے قسطوں پر گاڑی لینا,کسی بھی اسلامی بینک (مثلاً میزان بینک،دبئی  اسلامک بینک،فیصل اسلامک بینک)  سے گاڑی قسطوں میں لے سکتے ہیں؟,"<p><p style=""text-align:justify;"">قسطوں پر خرید وفروخت فی نفسہ تو جائز ہے، لیکن ہماری تحقیق کے مطابق  بینک اس معاملے کی شرعی  شرائط کی پاس داری نہیں کرتے؛ لہٰذا کسی بینک سے قسطوں پر خرید وفروخت جائز نہیں ہے۔فقط واللہ اعلم</p></p>",144105200587,banuri,"('معاملات', 'muamlat')","('سود / بینکاری / انشورنس / شیئرز', 'sood-bankari-insurance-shares')","('اسلامی بینکاری', 'islami-bankari')"
13-01-2020,https://www.banuri.edu.pk/readquestion/تعبیر-الرؤیا-144105200569/13-01-2020,خواب میں طواف میں غلطی کی تعبیر,خواب میں کعبہ اللہ کی زیارت اور اس کے طواف کرنے میں غلطی ہوتی ہے۔  کیا تعبیر ہوتی ہے؟,"<p><p style=""text-align:justify;"">علمائے حق کے بارے میں اپنا ذہن صاف رکھیں، بدگمانی سے بچیں۔ فقط واللہ اعلم</p></p>",144105200569,banuri,"('علوم و فنون', 'uloom-funoon')","('تعبیر الرؤیا', 'mutafarriq-deeni-uloom')","('بعض خوابوں کی تعبیر', 'baaz-khuwabon-ki-taabeer')"
